iter	RMSE
0	0.3891161569
1	0.3786005513
2	0.3684852946
3	0.3588237252
4	0.3495929162
5	0.340145186
6	0.3313845307
7	0.323349497
8	0.3167449175
9	0.3092066244
10	0.302442787
11	0.2952199564
12	0.2888911705
13	0.2826919667
14	0.276763114
15	0.2707709364
16	0.2652329472
17	0.2600550915
18	0.255608324
19	0.2506205811
20	0.2460769473
21	0.2418466505
22	0.2379028892
23	0.2335678728
24	0.2300138236
25	0.2262410242
26	0.2225067274
27	0.218905677
28	0.2155388198
29	0.2125280778
30	0.2095967668
31	0.206678696
32	0.2035499789
33	0.2011355359
34	0.1980339537
35	0.19519464
36	0.1926914005
37	0.1904163844
38	0.1880980126
39	0.1861220363
40	0.1838292336
41	0.1818273031
42	0.1801517134
43	0.1783234267
44	0.176211397
45	0.1743209822
46	0.1730199239
47	0.171790403
48	0.1703516517
49	0.1687042245
50	0.1671664696
51	0.1661434676
52	0.1646672438
53	0.1634888467
54	0.1623215685
55	0.1611016227
56	0.1597345317
57	0.1586925801
58	0.1575526123
59	0.1565167892
60	0.1555591161
61	0.1547145766
62	0.1538530478
63	0.1529374161
64	0.1520657881
65	0.1513384667
66	0.1507112629
67	0.1499647543
68	0.1492230204
69	0.1483314567
70	0.1475561352
71	0.1468829644
72	0.1460039297
73	0.1453417347
74	0.1446146841
75	0.1440073129
76	0.1433580811
77	0.1429492616
78	0.1423500356
79	0.141767735
80	0.1412031549
81	0.1406578573
82	0.1402609433
83	0.1398747021
84	0.1393552062
85	0.1388729052
86	0.1383480534
87	0.1378942184
88	0.1374420641
89	0.136947052
90	0.1364777316
91	0.1360647361
92	0.1356559925
93	0.1353591762
94	0.1350509496
95	0.1346526327
96	0.1343805471
97	0.1340665471
98	0.1337768103
99	0.1334066305
100	0.1330150237
101	0.1327033164
102	0.1322909541
103	0.1320245452
104	0.1317492935
105	0.1315178993
106	0.1311671041
107	0.130860119
108	0.1303852967
109	0.1301323623
110	0.1299006882
111	0.1295958475
112	0.1291976441
113	0.1288437497
114	0.128528749
115	0.1282700294
116	0.1279390932
117	0.1276412904
118	0.1273956365
119	0.1269892129
120	0.126781269
121	0.1265187121
122	0.126212752
123	0.1260173739
124	0.1258202716
125	0.125561257
126	0.1252252879
127	0.1249588147
128	0.1246265348
129	0.1244426075
130	0.1241326821
131	0.1239376493
132	0.1237220142
133	0.1235653807
134	0.1232936526
135	0.1230485326
136	0.122884724
137	0.1227877749
138	0.1225818563
139	0.1223946323
140	0.1222549792
141	0.1220330025
142	0.1218121363
143	0.1217105902
144	0.1214859607
145	0.1212658963
146	0.1210851932
147	0.1208887904
148	0.1207676667
149	0.1206013147
150	0.1204612114
151	0.120277003
152	0.120098995
153	0.1199401758
154	0.1196844742
155	0.1194615516
156	0.1193120192
157	0.1191767317
158	0.1190872537
159	0.1190511366
160	0.1188238211
